smiles,name,table,page,row,Accum,Accum_SE,Accum_class,Molecular_weight,clogD7.4,RB,glob,PBF,pmi1_MW,fgroup,Unnamed: 15,Unnamed: 16
O=C1[C@]2(CO)C[C@]3([C@@H]([NH2+]CCO)c4c(C)cccc4[C@H]3CC2)C1,2-23,2.0,4.0,2.0,118.0,3.0,Low,316.424,-0.28,4.0,0.23,1.02,4.5,Sec_amine,,
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C[NH2+]C1CC1)(C3)CC2,2-24,2.0,4.0,3.0,113.0,0.0,Low,457.552,-2.47,5.0,0.14,1.04,5.79,Sec_amine,,
O=C1[C@]2(C)C[C@]3([C@@H]([NH2+]CCO)c4c(C)cccc4[C@H]3CC2)C1,2-25,2.0,4.0,4.0,98.0,30.0,Low,300.425,1.01,3.0,0.22,1.0,4.51,Sec_amine,,
O=C(NC1CCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@@]31CC(=O)[C@](C[NH2+]Cc1occc1)(C3)CC2,2-26,2.0,4.0,5.0,67.0,3.0,Low,495.601,0.15,6.0,0.12,1.04,6.29,Sec_amine,,
O=C(OC)[C@H](NC[C@]12C(=O)C[C@@]3([C@@H](C(=O)OC)c4c(C)cccc4[C@H]3CC1)C2)CO,2-27,2.0,4.0,6.0,54.0,24.0,Low,415.491,1.79,8.0,0.26,1.29,5.33,Sec_amine,,
O=C(OC)[C@H](NC[C@]12C(=O)C[C@@]3([C@@H](C(=O)OC)c4c(C)cccc4[C@H]3CC1)C2)C,2-28,2.0,4.0,7.0,16.0,4.0,Low,399.491,2.8,7.0,0.23,1.24,5.04,Sec_amine,,
O(C)c1c2O[C@@H]3C(=O)C(OC)=C[C@@H]4[C@H]5N(C)CC[C@@]34c2c(cc1)C5,2-29,2.0,5.0,1.0,407.0,6.0,High,327.384,0.58,2.0,0.32,1.2,5.01,Tert_amine,,
O(C)c1cc2c([C@@H](O)[C@H]3[N@@H+]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,2-30,2.0,5.0,2.0,261.0,16.0,Low,325.434,0.86,4.0,0.2,1.06,4.38,Tert_amine,,
O(C)c1cc2c([C@H](O)[C@H]3[N@@H+]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,2-31,2.0,5.0,3.0,232.0,38.0,Low,325.434,0.86,4.0,0.23,1.11,4.59,Tert_amine,,
O(C)c1c(O)c2c(cc1)C[C@@H]1N(C)CC[C@]32[C@@H]1C=C(OC)C(=O)C3,2-32,2.0,5.0,4.0,218.0,10.0,Low,329.399,0.65,2.0,0.34,1.24,5.32,Tert_amine,,
