SMILES,Accum,Accum_Class,Accum_SE,Compound_ID,SourceTable,MolWt,LogP,TPSA,HBD,HBA,RotB,RingCount,HeavyAtomCount,FracCSP3
O=C1[C@]2(C)[C@H](N=[N+]=[N-])C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,16.0,Low,1.0,3-21,Table3,382.4240000000003,3.570800000000003,144.05,1.0,5.0,3.0,5.0,28.0,0.7368421052631579
O(C)c1cc2c([C@@H]3SC(=O)N4[C@H]3C[C@@H]([C@@H](C=C)C[N+](C)(C)C)CC4)ccnc2cc1,44.0,Low,7.0,3-25,Table3,426.6060000000002,4.740300000000005,42.43,0.0,4.0,6.0,4.0,30.0,0.5
O=C(NC[C@H](C=C)[C@@H]1C[C@H]2[C@H](c3c4c(ncc3)ccc(OC)c4)SC(=O)N2CC1)C,91.0,Low,9.0,3-26,Table3,425.55400000000026,4.170200000000004,71.52999999999999,1.0,5.0,6.0,4.0,30.0,0.43478260869565216
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CO)[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,21.0,Low,1.0,3-29,Table3,332.39600000000013,0.9348000000000002,86.99000000000001,3.0,5.0,1.0,5.0,24.0,0.7368421052631579
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,61.0,Low,20.0,3-30,Table3,357.41000000000025,2.2528000000000006,115.52000000000001,2.0,5.0,2.0,5.0,26.0,0.7368421052631579
O=C(OC)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,38.0,Low,5.0,3-31,Table3,360.40600000000023,1.115499999999999,93.06000000000002,2.0,6.0,1.0,5.0,26.0,0.7
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1)c1ccc(C)cc1,25.0,Low,0.0,3-35,Table3,325.346,1.5454199999999998,110.59,0.0,6.0,4.0,3.0,22.0,0.5384615384615384
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(C)cc1,111.0,Low,35.0,3-36,Table3,341.38500000000005,0.37122000000000055,90.93000000000002,1.0,6.0,4.0,3.0,23.0,0.5333333333333333
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(C)cc1,152.0,Low,29.0,3-37,Table3,300.332,0.2274199999999993,82.06000000000002,1.0,6.0,3.0,3.0,20.0,0.5384615384615384
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](N(C)C)[C@H]2OC1)c1ccccc1,116.0,Low,7.0,3-40,Table3,313.37499999999994,0.4883000000000002,65.07000000000001,0.0,6.0,4.0,3.0,21.0,0.5714285714285714
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccccc1,93.0,Low,8.0,3-41,Table3,327.358,0.06280000000000063,90.93000000000002,1.0,6.0,4.0,3.0,22.0,0.5
O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1,20.0,Low,0.0,3-43,Table3,261.281,2.0483,76.45,0.0,4.0,4.0,3.0,19.0,0.5384615384615384
O=C(N[C@@H]1[C@H]2OC[C@@H](OCc3ccccc3)[C@H]2OC1)C,103.0,Low,3.0,3-44,Table3,277.32000000000005,0.874099999999999,56.790000000000006,1.0,4.0,4.0,3.0,20.0,0.5333333333333333
