SMILES,,,Accumulation Status
O[C@@]12C(=C)C[C@]3([C@@H]([CH+][NH+](C)C)c4c(C)cccc4[C@H]3CC1)C2,,,DA (Doesn't Accumulate)
CC1=C([C@H](C[N+](C)(C)C)[C@]2(CC3=C)[C@]4([H])CC[C@]3(O)C2)C4=CC=C1,,,DA (Doesn't Accumulate)
CC1=C([C@H](CNC(C)=O)[C@]2(CC3=C)[C@]4([H])CC[C@]3(O)C2)C4=CC=C1,,,DA (Doesn't Accumulate)
OC[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@@H](O)[C@](C)(C3)CC2,,,DA (Doesn't Accumulate)
O[C@@]12C(=C)C[C@]3([C@@H]([NH2+]C)c4c(C)cccc4[C@H]3CC1)C2,,,DA (Doesn't Accumulate)
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C1[C@@]2([C@@H](C=C[C@@]3([C@@H]2[C@@H]([C@@]45[C@H]3CC[C@@](C(C4)=C)(C5)O)C[NH3+])O1)[NH3+])C,,,Accumulates
O=C1[C@]2(C)[C@H](N=[N+]=[N-])C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,,,DA (Doesn't Accumulate)
O(C)c1cc2c([C@@H]3SC(=O)N4[C@H]3C[C@@H]([C@@H](C=C)C[NH+](C)C)CC4)ccnc2cc1,,,DA (Doesn't Accumulate)
O(C)c1cc2c([C@@H]3SC(=O)N4[C@H]3C[C@@H]([C@@H](C=C)C[N+](C)(C)C)CC4)ccnc2cc1,,,DA (Doesn't Accumulate)
O=C(NC[C@H](C=C)[C@@H]1C[C@H]2[C@H](c3c4c(ncc3)ccc(OC)c4)SC(=O)N2CC1)C,,,DA (Doesn't Accumulate)
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CO)[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,,,DA (Doesn't Accumulate)
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,,,DA (Doesn't Accumulate)
O=C(OC)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1)c1ccc(C)cc1,,,Accumulates
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1)c1ccc(C)cc1,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(C)cc1,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(C)cc1,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1)c1ccccc1,,,Accumulates
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([NH2+]C)[C@H]2OC1)c1ccccc1,,,Accumulates
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](N(C)C)[C@H]2OC1)c1ccccc1,,,DA (Doesn't Accumulate)
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccccc1,,,DA (Doesn't Accumulate)
